,"Instructions
Enter stock symbol in cell B4",,,,,POWERED BY
,,,,,,Google Finance
,,,,,,
,TSLA,<< enter a symbol,,,,
,,"<< optionally, enter an exchange (ex: NASDAQ, NYSE)",,,,
,,,,,,
,Tesla Inc,,,,,
,,,,,,
,Current Price,,Change,% Change,,
,795.35,,-42.95,-5.12%,,
,,,,,,
,,,,,,
,Market Cap,P/E Ratio,Beta,,,
,"822,000M",162.29,2.04,,,
,,,,,,12 Months
,,,,,,
,,,,,,
,TSLA,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Date,Open,High,Low,Close,Volume
,"Sep 22, 2021",743.53,753.67,739.12,751.94,"15,126,272"
,"Sep 23, 2021",755.00,758.20,747.92,753.64,"11,947,527"
,"Sep 24, 2021",745.89,774.80,744.56,774.39,"21,373,022"
,"Sep 27, 2021",773.12,799.00,769.31,791.36,"28,070,657"
,"Sep 28, 2021",787.20,795.64,766.18,777.56,"25,381,422"
,"Sep 29, 2021",779.80,793.50,770.68,781.31,"20,942,877"
,"Sep 30, 2021",781.00,789.13,775.00,775.48,"17,955,961"
,"Oct 1, 2021",778.40,780.78,763.59,775.22,"17,031,414"
,"Oct 4, 2021",796.50,806.97,776.12,781.53,"30,483,341"
,"Oct 5, 2021",784.80,797.31,774.20,780.59,"18,432,625"
,"Oct 6, 2021",776.20,786.66,773.22,782.75,"14,632,768"
,"Oct 7, 2021",785.46,805.00,783.38,793.61,"19,195,782"
,"Oct 8, 2021",796.21,796.38,780.91,785.49,"16,738,604"
,"Oct 11, 2021",787.65,801.24,785.50,791.94,"14,200,322"
,"Oct 12, 2021",800.93,812.32,796.57,805.72,"22,020,040"
,"Oct 13, 2021",810.47,815.41,805.78,811.08,"14,120,075"
,"Oct 14, 2021",815.49,820.25,813.35,818.32,"12,247,170"
,"Oct 15, 2021",823.74,843.21,822.35,843.03,"18,924,567"
,"Oct 18, 2021",851.79,875.26,851.47,870.11,"24,207,244"
,"Oct 19, 2021",877.53,877.95,862.51,864.27,"17,381,128"
,"Oct 20, 2021",865.35,869.49,857.38,865.80,"14,032,052"
,"Oct 21, 2021",856.00,900.00,855.50,894.00,"31,481,454"
